Date,Exchange_Rate_GBP_USD,FTSE100_Index,Inflation_Rate,Interest_Rate,GDP_Growth,Unemployment_Rate,CPI
2017-11-02,1.3255391120910645,7555.2998046875,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-03,1.30532968044281,7560.39990234375,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-04,1.30532968044281,7560.39990234375,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-05,1.30532968044281,7560.39990234375,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-06,1.30804443359375,7562.2998046875,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-07,1.3175057172775269,7513.10009765625,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-08,1.3172106742858887,7529.7001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-09,1.3113033771514893,7484.10009765625,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-10,1.3144404888153076,7433.0,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-11,1.3144404888153076,7433.0,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-12,1.3144404888153076,7433.0,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-13,1.312026023864746,7415.2001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-14,1.3123359680175781,7414.39990234375,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-15,1.3157894611358643,7372.60009765625,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-16,1.3157894611358643,7386.89990234375,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-17,1.3200448751449585,7380.7001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-18,1.3200448751449585,7380.7001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-19,1.3200448751449585,7380.7001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-20,1.3202714920043945,7389.5,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-21,1.3245033025741577,7411.2998046875,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-22,1.3245558738708496,7419.0,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-23,1.3316820859909058,7417.2001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-24,1.330672025680542,7409.60009765625,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-25,1.330672025680542,7409.60009765625,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-26,1.330672025680542,7409.60009765625,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-27,1.3324450254440308,7383.89990234375,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-28,1.3322319984436035,7460.7001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-29,1.3365410566329956,7393.60009765625,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-11-30,1.3417235612869263,7326.7001953125,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
2017-12-01,1.3529969453811646,7300.5,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-02,1.3529969453811646,7300.5,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-03,1.3529969453811646,7300.5,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-04,1.349400281906128,7339.0,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-05,1.347527265548706,7327.5,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-06,1.341525673866272,7348.0,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-07,1.3392258882522583,7320.7998046875,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-08,1.348435878753662,7394.0,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-09,1.348435878753662,7394.0,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-10,1.348435878753662,7394.0,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-11,1.3392080068588257,7453.5,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-12,1.334935188293457,7500.39990234375,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-13,1.331948161125183,7496.5,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-14,1.3409678936004639,7448.10009765625,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-15,1.3432915210723877,7490.60009765625,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-16,1.3432915210723877,7490.60009765625,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-17,1.3432915210723877,7490.60009765625,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-18,1.3317352533340454,7537.0,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-19,1.3380789756774902,7544.10009765625,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-20,1.3386881351470947,7525.2001953125,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-21,1.3372023105621338,7604.0,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-22,1.338043212890625,7592.7001953125,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-23,1.338043212890625,7592.7001953125,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-24,1.338043212890625,7592.7001953125,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-25,1.3365052938461304,7592.7001953125,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-26,1.3376137018203735,7592.7001953125,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-27,1.337470531463623,7620.7001953125,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-28,1.3403927087783813,7622.89990234375,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-29,1.344085931777954,7687.7998046875,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-30,1.344085931777954,7687.7998046875,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2017-12-31,1.344085931777954,7687.7998046875,2.55775577557747,0.51871,0.7505415208,4.449094,105.0
2018-01-01,1.351607084274292,7687.7998046875,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-02,1.3511322736740112,7648.10009765625,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-03,1.359619379043579,7671.10009765625,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-04,1.3511322736740112,7695.89990234375,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-05,1.3552889823913574,7724.2001953125,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-06,1.3552889823913574,7724.2001953125,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-07,1.3552889823913574,7724.2001953125,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-08,1.3575890064239502,7696.5,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-09,1.3571282625198364,7731.0,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-10,1.353234887123108,7748.5,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-11,1.351278305053711,7762.89990234375,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-12,1.3541878461837769,7778.60009765625,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-13,1.3541878461837769,7778.60009765625,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-14,1.3541878461837769,7778.60009765625,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-15,1.3733056783676147,7769.10009765625,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-16,1.379824161529541,7755.89990234375,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
